Biosample,Accession,Species,Prophage count
SAMN02604094,AE014075.1,Escherichia coli,5
SAMEA2272558,AM946981.2,Escherichia coli,1
SAMD00061081,AP009048.1,Escherichia coli,1
SAMD00061087,AP009240.1,Escherichia coli,6
SAMD00061087,AP009243.1,Escherichia coli,0
SAMD00061087,AP009246.1,Escherichia coli,0
SAMD00060923,AP009378.1,Escherichia coli,1
SAMD00060923,AP009379.1,Escherichia coli,0
SAMD00060955,AP010953.1,Escherichia coli,13
SAMD00060956,AP010958.1,Escherichia coli,11
SAMD00060956,AP010959.1,Escherichia coli,0
SAMD00060957,AP010960.1,Escherichia coli,12
SAMD00060957,AP010962.1,Escherichia coli,1
SAMD00060976,AP012030.1,Escherichia coli,1
SAMD00108492,AP018488.1,Escherichia coli,9
SAMD00127374,AP018784.2,Escherichia coli,0
SAMD00129666,AP018796.1,Escherichia coli,13
SAMD00129667,AP018802.1,Escherichia coli,12
SAMD00129667,AP018804.1,Escherichia coli,0
SAMD00129667,AP018807.1,Escherichia coli,0
SAMD00129668,AP018808.1,Escherichia coli,13
SAMD00059754,AP019189.1,Escherichia coli,2
SAMD00164371,AP019538.1,Escherichia coli,4
SAMD00168435,AP019675.1,Escherichia coli,4
SAMD00168435,AP019676.1,Escherichia coli,0
SAMD00168435,AP019677.1,Escherichia coli,0
SAMD00168435,AP019678.1,Escherichia coli,0
SAMD00168435,AP019679.1,Escherichia coli,0
SAMD00168435,AP019680.1,Escherichia coli,0
SAMD00168435,AP019681.1,Escherichia coli,0
SAMD00172295,AP019761.1,Escherichia coli,9
SAMD00172295,AP019762.1,Escherichia coli,0
SAMD00172295,AP019763.1,Escherichia coli,0
SAMD00172295,AP019764.1,Escherichia coli,0
SAMD00172295,AP019765.1,Escherichia coli,0
SAMD00172295,AP019766.1,Escherichia coli,0
SAMD00172295,AP019767.1,Escherichia coli,0
SAMD00172295,AP019768.1,Escherichia coli,0
SAMD00179457,AP019856.1,Escherichia coli,3
SAMD00179457,AP019857.1,Escherichia coli,0
SAMD00179457,AP019858.1,Escherichia coli,0
SAMD00179457,AP019859.1,Escherichia coli,0
SAMD00190256,AP021890.1,Escherichia coli,6
SAMD00190245,AP021891.1,Escherichia coli,2
SAMD00190246,AP021892.1,Escherichia coli,2
SAMD00190251,AP021893.1,Escherichia coli,4
SAMD00190253,AP021894.1,Escherichia coli,3
SAMD00190255,AP021895.1,Escherichia coli,1
SAMD00190249,AP021896.1,Escherichia coli,2
SAMD00194357,AP021933.1,Escherichia coli,2
SAMD00194359,AP021935.1,Escherichia coli,1
SAMD00194405,AP021963.1,Escherichia coli,4
SAMD00194414,AP022003.1,Escherichia coli,5
SAMD00194455,AP022049.1,Escherichia coli,3
SAMD00194506,AP022105.1,Escherichia coli,4
SAMD00194533,AP022159.1,Escherichia coli,4
SAMD00194535,AP022171.1,Escherichia coli,3
SAMD00194553,AP022173.1,Escherichia coli,4
SAMD00194600,AP022221.1,Escherichia coli,2
SAMD00194604,AP022222.1,Escherichia coli,3
SAMD00194629,AP022261.1,Escherichia coli,4
SAMD00194670,AP022287.1,Escherichia coli,3
SAMD00194704,AP022295.1,Escherichia coli,2
SAMD00194706,AP022298.1,Escherichia coli,4
SAMD00108729,AP022351.1,Escherichia coli,3
SAMD00186874,AP022362.1,Escherichia coli,5
SAMD00195931,AP022478.1,Escherichia coli,4
SAMD00196004,AP022533.1,Escherichia coli,4
SAMD00196006,AP022536.1,Escherichia coli,4
SAMD00198301,AP022650.1,Escherichia coli,6
SAMD00198301,AP022652.1,Escherichia coli,0
SAMD00197816,AP022811.1,Escherichia coli,8
SAMD00197816,AP022814.1,Escherichia coli,1
SAMD00197820,AP022815.1,Escherichia coli,9
SAMD00197820,AP022818.1,Escherichia coli,1
SAMD00172786,AP023190.1,Escherichia coli,0
SAMD00172787,AP023197.1,Escherichia coli,0
SAMD00172788,AP023205.1,Escherichia coli,1
SAMD00172788,AP023208.1,Escherichia coli,1
SAMD00099774,AP023219.2,Escherichia coli,2
SAMD00157542,AP023224.1,Escherichia coli,0
SAMD00157544,AP023226.1,Escherichia coli,2
SAMD00157545,AP023230.2,Escherichia coli,0
SAMD00157547,AP023235.1,Escherichia coli,4
SAMD00157562,AP023237.1,Escherichia coli,0
SAMD00077025,AP024112.1,Escherichia coli,4
SAMD00283124,AP024518.1,Escherichia coli,4
SAMD00283125,AP024521.1,Escherichia coli,4
SAMD00407182,AP025214.2,Escherichia coli,3
SAMD00441897,AP025657.1,Escherichia coli,2
SAMD00441898,AP025662.1,Escherichia coli,2
SAMD00411241,AP025675.1,Escherichia coli,2
SAMD00566111,AP027212.1,Escherichia coli,8
SAMD00566110,AP027217.1,Escherichia coli,6
SAMD00566463,AP027246.1,Escherichia coli,9
SAMD00566464,AP027254.1,Escherichia coli,8
SAMD00566465,AP027256.1,Escherichia coli,6
SAMD00566466,AP027258.1,Escherichia coli,7
SAMD00585621,AP027432.1,Escherichia coli,4
SAMD00585622,AP027436.1,Escherichia coli,5
SAMD00585623,AP027440.1,Escherichia coli,5
SAMD00562497,AP027570.1,Escherichia coli,5
SAMD00562545,AP027576.1,Escherichia coli,4
SAMD00562573,AP027637.1,Escherichia coli,2
SAMD00562561,AP027648.1,Escherichia coli,4
SAMD00562527,AP027704.1,Escherichia coli,2
SAMD00562622,AP027759.1,Escherichia coli,3
SAMD00562605,AP027829.1,Escherichia coli,4
SAMD00587233,AP027957.1,Escherichia coli,1
SAMD00587235,AP027960.1,Escherichia coli,1
SAMD00608481,AP028094.1,Escherichia coli,9
SAMD00502403,AP028869.1,Escherichia coli,7
SAMD00651223,AP029000.1,Escherichia coli,6
SAMN00000110,CP000243.1,Escherichia coli,6
SAMN00000110,CP000244.1,Escherichia coli,0
SAMN02604181,CP000247.1,Escherichia coli,1
SAMN02604038,CP000797.1,Escherichia coli,0
SAMN02604038,CP000800.1,Escherichia coli,2
SAMN02604037,CP000802.1,Escherichia coli,2
SAMN02604255,CP001368.1,Escherichia coli,12
SAMN02604255,CP001369.1,Escherichia coli,0
SAMN02603900,CP001396.1,Escherichia coli,1
SAMN02603478,CP001509.3,Escherichia coli,2
SAMN02598470,CP001637.1,Escherichia coli,1
SAMN00002656,CP001665.1,Escherichia coli,1
SAMN02603258,CP001671.1,Escherichia coli,3
SAMN02603258,CP001833.1,Escherichia coli,0
SAMN02603636,CP001846.1,Escherichia coli,11
SAMN02603636,CP001847.1,Escherichia coli,0
SAMN02603727,CP001855.1,Escherichia coli,3
SAMN02603727,CP001856.1,Escherichia coli,0
SAMN02603645,CP001925.1,Escherichia coli,9
SAMN02603645,CP001926.1,Escherichia coli,0
SAMN02603645,CP001927.1,Escherichia coli,0
SAMN02603334,CP001969.1,Escherichia coli,11
SAMN00017915,CP002167.1,Escherichia coli,4
SAMN00017915,CP002168.1,Escherichia coli,0
SAMN02602978,CP002185.1,Escherichia coli,7
SAMN02602978,CP002186.1,Escherichia coli,0
SAMN02602978,CP002187.1,Escherichia coli,0
SAMN02603902,CP002211.1,Escherichia coli,3
SAMN02603903,CP002212.1,Escherichia coli,3
SAMN02604221,CP002729.1,Escherichia coli,10
SAMN02604221,CP002730.1,Escherichia coli,0
SAMN02604221,CP002731.1,Escherichia coli,0
SAMN02604221,CP002732.1,Escherichia coli,0
SAMN02604221,CP002733.1,Escherichia coli,0
SAMN02604169,CP002967.1,Escherichia coli,7
SAMN02604169,CP002968.1,Escherichia coli,0
SAMN02604169,CP002969.1,Escherichia coli,0
SAMN02604168,CP002970.1,Escherichia coli,6
SAMN02604168,CP002971.1,Escherichia coli,0
SAMN02603406,CP003034.1,Escherichia coli,9
SAMN02603406,CP003035.1,Escherichia coli,0
SAMN02603406,CP003036.1,Escherichia coli,0
SAMN02603406,CP003037.1,Escherichia coli,0
SAMN02603406,CP003038.1,Escherichia coli,0
SAMN02604278,CP003109.1,Escherichia coli,8
SAMN02604278,CP003110.1,Escherichia coli,1
SAMN02604278,CP003111.1,Escherichia coli,0
SAMN02604278,CP003112.1,Escherichia coli,0
SAMN02604278,CP003113.1,Escherichia coli,0
SAMN02604278,CP003114.1,Escherichia coli,0
SAMN01831188,CP003289.1,Escherichia coli,7
SAMN01831188,CP003292.1,Escherichia coli,0
SAMN01831189,CP003297.1,Escherichia coli,6
SAMN01831189,CP003298.1,Escherichia coli,0
SAMN01831189,CP003299.1,Escherichia coli,0
SAMN01831189,CP003300.1,Escherichia coli,0
SAMN01831190,CP003301.1,Escherichia coli,8
SAMN01831190,CP003302.1,Escherichia coli,0
SAMN01831190,CP003303.1,Escherichia coli,0
SAMN02603426,CP004009.1,Escherichia coli,5
SAMN03274236,CP005930.1,Escherichia coli,0
SAMN03274236,CP005931.1,Escherichia coli,0
SAMN03274236,CP005932.1,Escherichia coli,0
SAMN02641383,CP006027.1,Escherichia coli,16
SAMN02641383,CP006028.1,Escherichia coli,0
SAMN02641383,CP006029.1,Escherichia coli,0
SAMN02641384,CP006262.1,Escherichia coli,11
SAMN02641384,CP006263.1,Escherichia coli,0
SAMN02641384,CP006264.1,Escherichia coli,0
SAMN02604176,CP006584.1,Escherichia coli,4
SAMN02469619,CP006632.1,Escherichia coli,5
SAMN03765122,CP006636.1,Escherichia coli,2
SAMN03081526,CP007133.1,Escherichia coli,11
SAMN03081526,CP007134.1,Escherichia coli,0
SAMN03081526,CP007135.1,Escherichia coli,0
SAMN03081527,CP007136.1,Escherichia coli,15
SAMN03081527,CP007137.1,Escherichia coli,0
SAMN03081527,CP007138.1,Escherichia coli,0
SAMN02647163,CP007265.1,Escherichia coli,1
SAMN02666437,CP007275.1,Escherichia coli,7
SAMN02666434,CP007390.1,Escherichia coli,1
SAMN02666695,CP007391.1,Escherichia coli,1
SAMN02666696,CP007392.1,Escherichia coli,3
SAMN02666697,CP007393.1,Escherichia coli,2
SAMN02666698,CP007394.1,Escherichia coli,2
SAMN03852615,CP007442.1,Escherichia coli,3
SAMN04385793,CP007491.1,Escherichia coli,4
SAMN02794012,CP007799.1,Escherichia coli,2
SAMN02800875,CP008697.1,Escherichia coli,4
SAMN02440167,CP008801.1,Escherichia coli,0
SAMN02872945,CP008805.1,Escherichia coli,11
SAMN02872945,CP008806.1,Escherichia coli,0
SAMN02872945,CP008807.1,Escherichia coli,0
SAMN02905113,CP008957.1,Escherichia coli,10
SAMN02905113,CP008958.1,Escherichia coli,0
SAMN02928551,CP009050.1,Escherichia coli,6
SAMN02928551,CP009051.1,Escherichia coli,1
SAMN02929659,CP009072.1,Escherichia coli,3
SAMN02929659,CP009073.1,Escherichia coli,1
SAMN02929659,CP009074.1,Escherichia coli,0
SAMN03264844,CP009104.1,Escherichia coli,4
SAMN03264844,CP009105.1,Escherichia coli,0
